,area,value,year,item
8,栃木県,333864.74064346694,1966.0,pergdp
9,群馬県,309247.9750778816,1966.0,pergdp
10,埼玉県,293611.8316988295,1966.0,pergdp
11,千葉県,309503.054257995,1966.0,pergdp
12,東京都,597942.9115992014,1966.0,pergdp
13,神奈川県,491656.3656147987,1966.0,pergdp
14,新潟県,314402.1784666946,1966.0,pergdp
15,富山県,353732.8767123288,1966.0,pergdp
16,石川県,343104.0816326531,1966.0,pergdp
17,福井県,311201.072386059,1966.0,pergdp
18,山梨県,272473.061760841,1966.0,pergdp
19,長野県,291843.5897435897,1966.0,pergdp
20,岐阜県,322348.61845972954,1966.0,pergdp
21,静岡県,388193.65837026935,1966.0,pergdp
22,愛知県,467424.27343430213,1966.0,pergdp
23,三重県,359336.1955085865,1966.0,pergdp
24,滋賀県,331172.3329425557,1966.0,pergdp
25,京都府,365948.63336475025,1966.0,pergdp
26,大阪府,554921.05649303,1966.0,pergdp
27,兵庫県,393378.2110091743,1966.0,pergdp
28,奈良県,307719.57040572795,1966.0,pergdp
29,和歌山県,401029.1828793775,1966.0,pergdp
30,鳥取県,274391.30434782605,1966.0,pergdp
31,島根県,247359.2592592593,1966.0,pergdp
32,岡山県,354482.4029126213,1966.0,pergdp
33,広島県,396446.32768361596,1966.0,pergdp
34,山口県,378780.67885117495,1966.0,pergdp
35,徳島県,258701.7326732673,1966.0,pergdp
36,香川県,317594.8660714286,1966.0,pergdp
37,愛媛県,313721.64231036877,1966.0,pergdp
38,高知県,270160.248447205,1966.0,pergdp
39,福岡県,335148.74371859303,1966.0,pergdp
40,佐賀県,270195.8525345623,1966.0,pergdp
41,長崎県,226065.48347613215,1966.0,pergdp
42,熊本県,233800.79455164587,1966.0,pergdp
